Parameter,Value
Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.01
Accuracy,6338 / 10000

Epoch,Cost,Accuracy
3,2.452161942623293,4677
4,2.2441727502903466,4957
5,2.142912353158251,5466
6,1.9764859012376896,5998
7,2.000597684368855,5961
8,1.858781464142788,6364
9,1.795150093679564,6688
10,1.8443875963758571,6254
11,1.789653195629407,6663
12,1.7061354073081774,6877
13,1.7809334479007002,6855
14,1.617260575053216,7169
15,1.64655086316141,6849
16,1.6484852058810258,6972
17,1.6583885007152197,7207
18,1.5105209035361193,7505
19,1.4454665688214232,7548
20,1.5411554792845927,7035
21,1.5144963245270011,7412
22,1.673932752854639,6670
23,1.3882540474985112,7474
24,1.4471183939795254,7379
25,1.5552479737636016,7383
26,1.3944745860204844,7662
27,1.4735460651665304,7418
28,1.4160306085697145,7385
29,1.3287902647099537,7802
