Parameter,Value
Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.001
Accuracy,9078 / 10000

Epoch,Cost,Accuracy
3,0.08490408532875357,2887
4,0.08687870530921413,2835
5,0.08354556828094879,2993
6,0.08334779739238077,2968
7,0.08303111371395702,2979
8,0.08227557195493376,2996
9,0.08206463591260219,3012
10,0.08190860886821034,3021
11,0.08159105133549618,3045
12,0.08262733117057715,2973
13,0.08136985031574585,3044
14,0.08133896995359283,3054
15,0.08220947374637268,3039
16,0.08317481528170516,2964
17,0.0810063932105845,3051
18,0.08101077863575797,3061
19,0.08086282868072724,3063
20,0.08298899859616747,3061
21,0.0815015525114598,3059
22,0.08159860185258114,3029
23,0.07566456549737537,3057
24,0.0751206514063191,3082
25,0.07457442284394877,3092
26,0.07243423534095352,3191
27,0.07077690428596128,3458
28,0.06853753594785449,3698
29,0.06719692376314688,3814
